tick,year,month,market_cap,percentile
AAPL,2018,09,1097650000000.0,1.0
MSFT,2018,06,768397000000.0,0.9996487530734106
GOOGL,2018,12,726734000000.0,0.9992975061468212
FB,2018,12,376725000000.0,0.9989462592202318
JNJ,2018,12,346109000000.0,0.9985950122936424
JPM,2018,12,324627000000.0,0.9982437653670531
WMT,2018,01,315790000000.0,0.9978925184404637
V,2018,09,306745000000.0,0.9975412715138743
XOM,2018,12,288703000000.0,0.9971900245872849
PFE,2018,12,252318000000.0,0.9968387776606955
BAC,2018,12,241822000000.0,0.9964875307341061
UNH,2018,12,239662000000.0,0.9961362838075167
HD,2018,01,239295000000.0,0.9957850368809273
VZ,2018,12,232302000000.0,0.9954337899543378
WFC,2018,12,216910000000.0,0.9950825430277485
INTC,2018,12,214189000000.0,0.9947312961011591
CVX,2018,12,207873000000.0,0.9943800491745697
T,2018,12,207714000000.0,0.9940288022479803
KO,2018,12,201546000000.0,0.9936775553213909
MRK,2018,12,198695000000.0,0.9933263083948015
CSCO,2018,07,198321000000.0,0.9929750614682121
PG,2018,06,196466000000.0,0.9926238145416227
MA,2018,12,194837000000.0,0.9922725676150334
ORCL,2018,05,190726000000.0,0.991921320688444
BA,2018,12,183143000000.0,0.9915700737618546
DIS,2018,09,172877000000.0,0.9912188268352652
PEP,2018,12,155950000000.0,0.9908675799086758
CMCSA,2018,12,154911000000.0,0.9905163329820864
NVDA,2018,01,149591000000.0,0.990165086055497
ABBV,2018,12,138674000000.0,0.9898138391289076
C,2018,12,127138000000.0,0.9894625922023182
ABT,2018,12,127036000000.0,0.9891113452757289
AMGN,2018,12,124047000000.0,0.9887600983491395
LLY,2018,12,122585000000.0,0.9884088514225501
NFLX,2018,12,116723000000.0,0.9880576044959607
CRM,2019,01,116257000000.0,0.9877063575693713
NKE,2018,05,115724000000.0,0.9873551106427819
ACN,2018,08,114069000000.0,0.9870038637161925
MMM,2018,12,110949000000.0,0.9866526167896031
MDT,2018,04,110178000000.0,0.9863013698630136
QCOM,2018,09,106657000000.0,0.9859501229364243
PM,2018,12,103780000000.0,0.9855988760098349
UNP,2018,12,101846000000.0,0.9852476290832455
PYPL,2018,12,99088200000.0,0.9848963821566561
HON,2018,12,97806900000.0,0.9845451352300667
MO,2018,12,92806100000.0,0.9841938883034773
TXN,2018,12,90771300000.0,0.9838426413768879
FOX,2018,06,90163800000.0,0.9834913944502985
TMO,2018,12,90092600000.0,0.9831401475237092
UTX,2018,12,85288800000.0,0.9827889005971198
BMY,2018,12,84841700000.0,0.9824376536705304
NVDA,2019,01,84186100000.0,0.982086406743941
UPS,2018,12,83800300000.0,0.9817351598173516
NEE,2018,12,83076400000.0,0.9813839128907622
DWDP,2018,12,82512500000.0,0.9810326659641728
CRM,2018,01,82277200000.0,0.9806814190375834
AXP,2018,12,81428200000.0,0.980330172110994
GILD,2018,12,80915900000.0,0.9799789251844047
CAT,2018,12,74984900000.0,0.9796276782578153
SBUX,2018,09,74983000000.0,0.9792764313312259
LMT,2018,12,74474000000.0,0.9789251844046365
USB,2018,12,73855400000.0,0.9785739374780471
DHR,2018,12,72277100000.0,0.9782226905514577
COP,2018,12,71779900000.0,0.9778714436248683
AMT,2018,12,69680800000.0,0.9775201966982789
WBA,2018,08,68039800000.0,0.9771689497716894
CVS,2018,12,66751700000.0,0.9768177028451
FDX,2018,05,66568700000.0,0.9764664559185107
CHTR,2018,12,65234700000.0,0.9761152089919213
CME,2018,12,64116800000.0,0.9757639620653319
GS,2018,12,62138200000.0,0.9754127151387425
BLK,2018,12,61952500000.0,0.9750614682121531
DUK,2018,12,61521300000.0,0.9747102212855637
MU,2018,08,61191600000.0,0.9743589743589743
BIIB,2018,12,60630100000.0,0.974007727432385
CB,2018,12,59526800000.0,0.9736564805057956
ADP,2018,06,59408800000.0,0.9733052335792062
SYK,2018,12,58653900000.0,0.9729539866526168
MDLZ,2018,12,58197000000.0,0.9726027397260274
TSLA,2018,12,57152700000.0,0.972251492799438
SCHW,2018,12,56084300000.0,0.9719002458728486
AABA,2018,12,55418900000.0,0.9715489989462592
ISRG,2018,12,54692800000.0,0.9711977520196698
TMUS,2018,12,53966300000.0,0.9708465050930805
PNC,2018,12,53945100000.0,0.9704952581664911
EPD,2018,12,53671600000.0,0.9701440112399017
CSX,2018,12,52463800000.0,0.9697927643133123
INTU,2018,07,52405600000.0,0.9694415173867229
EL,2018,06,52391100000.0,0.9690902704601335
SPG,2018,12,51960000000.0,0.9687390235335441
CL,2018,12,51622900000.0,0.9683877766069547
EOG,2018,12,50573300000.0,0.9680365296803652
SLB,2018,12,49963700000.0,0.9676852827537759
BSX,2018,12,48903500000.0,0.9673340358271865
EMR,2018,09,48794100000.0,0.9669827889005971
GM,2018,12,47211500000.0,0.9666315419740077
D,2018,12,46812300000.0,0.9662802950474183
GD,2018,12,46557700000.0,0.9659290481208289
BK,2018,12,46541800000.0,0.9655778011942395
OXY,2018,12,46343500000.0,0.9652265542676501
SO,2018,12,45188800000.0,0.9648753073410608
CCI,2018,12,45065200000.0,0.9645240604144714
CELG,2018,12,44815000000.0,0.964172813487882
ILMN,2018,12,44089700000.0,0.9638215665612926
CCL,2018,11,43720800000.0,0.9634703196347032
RTN,2018,12,43639900000.0,0.9631190727081138
ICE,2018,12,42906800000.0,0.9627678257815244
HCA,2018,12,42830800000.0,0.962416578854935
SPGI,2018,12,42637900000.0,0.9620653319283456
ECL,2018,12,42565400000.0,0.9617140850017563
VRTX,2018,12,42348500000.0,0.9613628380751669
ITW,2018,12,42035900000.0,0.9610115911485775
DE,2018,10,41997700000.0,0.9606603442219881
STZ,2018,02,41956200000.0,0.9603090972953987
ZTS,2018,12,41097800000.0,0.9599578503688093
LVS,2018,12,40784000000.0,0.9596066034422199
MPC,2018,12,40767300000.0,0.9592553565156305
NSC,2018,12,40726800000.0,0.958904109589041
MET,2018,12,40519600000.0,0.9585528626624517
REGN,2018,12,40425600000.0,0.9582016157358623
PSX,2018,12,39725900000.0,0.9578503688092729
KMB,2018,12,39457500000.0,0.9574991218826835
HUM,2018,12,39301300000.0,0.9571478749560941
HPQ,2018,10,38199300000.0,0.9567966280295047
WM,2018,12,37940600000.0,0.9564453811029153
APD,2018,09,37151300000.0,0.9560941341763259
MAR,2018,12,37033100000.0,0.9557428872497366
PLD,2018,12,36966000000.0,0.9553916403231472
AEP,2018,12,36855000000.0,0.9550403933965578
SHW,2018,12,36838200000.0,0.9546891464699684
CTSH,2018,12,36756700000.0,0.954337899543379
EA,2018,03,36414700000.0,0.9539866526167896
COF,2018,12,35803700000.0,0.9536354056902002
SYY,2018,06,35406400000.0,0.9532841587636108
PSA,2018,12,35293100000.0,0.9529329118370214
BAX,2018,12,35025500000.0,0.9525816649104321
AON,2018,12,35009100000.0,0.9522304179838427
AIG,2018,12,34864000000.0,0.9518791710572533
AFL,2018,12,34683900000.0,0.9515279241306639
DAL,2018,12,34212400000.0,0.9511766772040745
KMI,2018,12,33943900000.0,0.9508254302774851
PRU,2018,12,33680200000.0,0.9504741833508957
FIS,2018,12,33583900000.0,0.9501229364243063
JCI,2018,09,32538800000.0,0.9497716894977168
NOW,2018,12,31924400000.0,0.9494204425711275
LYB,2018,12,31905000000.0,0.9490691956445381
VLO,2018,12,31810400000.0,0.9487179487179487
TRV,2018,12,31719700000.0,0.9483667017913593
TEL,2018,09,30640000000.0,0.9480154548647699
AMAT,2018,10,30590700000.0,0.9476642079381805
ETN,2018,12,29757200000.0,0.9473129610115911
AMTD,2018,09,29727900000.0,0.9469617140850017
SRE,2018,12,29607300000.0,0.9466104671584123
ENB,2018,12,29405300000.0,0.946259220231823
FISV,2018,12,29283600000.0,0.9459079733052336
MCK,2018,03,28848300000.0,0.9455567263786442
YUM,2018,12,28706800000.0,0.9452054794520548
ALL,2018,12,28461300000.0,0.9448542325254654
EQIX,2018,12,28342500000.0,0.944502985598876
LRCX,2018,06,28053400000.0,0.9441517386722866
ORLY,2018,12,27582300000.0,0.9438004917456972
ROP,2018,12,27566400000.0,0.9434492448191079
MNST,2018,12,27216900000.0,0.9430979978925185
EBAY,2018,12,27026600000.0,0.9427467509659291
MCO,2018,12,26831700000.0,0.9423955040393397
WMB,2018,12,26692500000.0,0.9420442571127503
PEG,2018,12,26308700000.0,0.9416930101861609
LUV,2018,12,26136000000.0,0.9413417632595715
RHT,2018,02,26090400000.0,0.9409905163329821
WELL,2018,12,26073500000.0,0.9406392694063926
ADSK,2018,01,25467300000.0,0.9402880224798033
SIRI,2018,12,25361800000.0,0.9399367755532139
